experiment_name,policy_name,run_index,average_reward,average_quality,average_latency,average_iterations,total_experiences,match_rate
1-heuristic-baseline,HeuristicPolicy,0,0.8125523725490194,0.7829557153963795,1.113949321223406,0.8529411764705882,102,0.34
1-heuristic-baseline,HeuristicPolicy,1,0.7897892982456142,0.7776244836112884,1.0900383916975636,1.0263157894736843,114,0.38
1-heuristic-baseline,HeuristicPolicy,2,0.8091435999999999,0.7992614760911766,1.0983574913895169,0.872,125,0.4166666666666667
1-heuristic-baseline,HeuristicPolicy,3,0.7665590695652172,0.7902907692756066,1.1528954650848973,1.0521739130434782,115,0.38333333333333336
1-heuristic-baseline,HeuristicPolicy,4,0.8106387096774195,0.7888459780142485,1.1286620340059548,0.8951612903225806,124,0.41333333333333333
1-heuristic-baseline,HeuristicPolicy,5,0.806287744,0.7949468989341898,1.1171833241656437,0.928,125,0.4166666666666667
1-heuristic-baseline,HeuristicPolicy,6,0.780062300813008,0.7861516825724301,1.146177503734973,1.0,123,0.41
1-heuristic-baseline,HeuristicPolicy,7,0.7565816060606063,0.7750993072338354,1.1279302109521316,1.0151515151515151,132,0.44
1-heuristic-baseline,HeuristicPolicy,8,0.7970506339285713,0.7885182276271915,1.097208912183291,0.9196428571428571,112,0.37333333333333335
1-heuristic-baseline,HeuristicPolicy,9,0.7944083064516124,0.7861453760055251,1.1250635743728612,0.8709677419354839,124,0.41333333333333333
1-heuristic-baseline,HeuristicPolicy,10,0.7837513304347826,0.7863086067929618,1.1294062804290275,0.8521739130434782,115,0.38333333333333336
1-heuristic-baseline,HeuristicPolicy,11,0.787739743362832,0.786818350275478,1.1143148505580074,0.9469026548672567,113,0.37666666666666665
1-heuristic-baseline,HeuristicPolicy,12,0.7972223467741939,0.7947260778349697,1.1113657061880755,1.1370967741935485,124,0.41333333333333333
1-heuristic-baseline,HeuristicPolicy,13,0.8042789767441859,0.7845440458020976,1.1091773846228155,0.8604651162790697,129,0.43
